Company,Source,RepVue Score,Last Checked,Currently Open,Notes
Fiddler AI,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Fleetio,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Fluint,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
GitGuardian,claude,,2026-06-30,Y,has open qualifying role
Gitlab,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Glean,claude,80,2026-06-30,Y,has open qualifying role
Gong,claude,88,2026-06-30,Y,has open qualifying role
Grafana Labs,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Halcyon,claude,,2026-06-30,Y,has open qualifying role
HappyCo,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Hex,claude,,2026-07-02,Y,has open qualifying role
HiBob,claude,80,2026-07-04,N,HiBob careers page empty; posting dead
Highspot,claude,,2026-07-02,Y,has open qualifying role
Hightouch,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Hivel,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Honeycomb,claude,81,2026-06-30,Y,has open qualifying role
Huntress,claude,,2026-07-02,Y,has open qualifying role
Incident.io,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Infios,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Infisical,claude,,2026-06-30,Y,has open qualifying role
Ironclad,claude,,2026-07-02,N,"dropped 2026-07-02: Ent-only AEs, hybrid per JD despite (Remote) label; board is Ashby ironcladhq not Greenhouse"
Itential,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Iterable,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Jama Software,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Keeper Security,claude,,2026-06-30,Y,has open qualifying role
Komodo Health,claude,79,2026-06-30,Y,has open qualifying role
Kong,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Lattice,claude,,2026-07-02,Y,has open qualifying role
LaunchDarkly,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Leapsome,claude,,2026-07-02,N,dropped 2026-07-02: High-Velocity AE is hybrid-NYC 2d/wk + SMB segment; board Remote label misleading
Limble,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Linear,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Lockthreat,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Lytx,claude,69,2026-07-02,Y,has open qualifying role
Mabl,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Maintainx,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Maxio,claude,,2026-07-02,Y,has open qualifying role
Mercury,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Merge,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Meter,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Mindtickle,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Mistral AI,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Monte Carlo,claude,,2026-06-30,Y,has open qualifying role
Motive,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Neo4j,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Nerdio,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Net Health,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
NetBox Labs,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Numeric,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Outsystems,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
PagerDuty,claude,79,2026-06-30,Y,has open qualifying role
Pigment,claude,,2026-07-02,Y,has open qualifying role
Pulumi,claude,,2026-06-30,Y,has open qualifying role
Pylon,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Ramp,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Redpanda,claude,,2026-07-04,N,ATS board gone
Render,claude,,2026-07-02,Y,has open qualifying role
Retool,claude,84,2026-06-30,Y,has open qualifying role
Rillet,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Rippling,claude,86,2026-06-30,Y,has open qualifying role
Rocket Software,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Samsara,claude,86,2026-07-02,Y,has open qualifying role
ScaleOps,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Servicenow,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Sierra,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Sigma Computing,claude,,2026-06-30,Y,has open qualifying role
Smartsheet,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
SmartSuite,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Starburst,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Sumo Logic,claude,,2026-07-02,Y,has open qualifying role
Supermetrics,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Syniti,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Synthflow AI,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Sysdig,claude,,2026-07-04,N,posting dead; no qualifying replacement on board
Temporal,claude,95,2026-07-04,N,posting dead; remaining US AE roles are senior-only (Strategic Senior AE)
The Access Group,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Thoropass,claude,,2026-07-02,Y,has open qualifying role
ThoughtSpot,claude,79,2026-07-04,N,Workday req JR2099 gone
Tines,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Trunk Tools,claude,,2026-07-02,Y,has open qualifying role
Vanta,claude,88,2026-07-02,N,dropped 2026-07-02: core AEs Dublin-only; US-remote is SLED/gov specialty only
Vantage,claude,,2026-07-02,Y,has open qualifying role
Webflow,claude,,2026-06-30,Y,has open qualifying role
Workato,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Workiva,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Wrike,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Writer,claude,,2026-06-30,Y,has open qualifying role
Zscaler,claude,,2026-06-30,N,evaluated (prior master exclusion list); no listed role
Amplitude,claude,,2026-06-30,Y,Strategic AE (Ent) remote-NE US; product analytics
Postman,claude,,2026-07-02,Y,MM AE remote-US $180-230K 3-5yrs (distinct Remote posting vs separate city postings)
Mixpanel,claude,,2026-06-30,N,only London hybrid AE; no US-remote
CockroachDB,claude,,2026-06-30,N,only Singapore AE; no US-remote
Pendo,claude,,2026-06-30,N,SMB Raleigh + Ent EMEA/APAC only; no US-remote MM
Brex,claude,,2026-06-30,N,MM AE office-only (NY/SLC/Seattle/SF); no remote
Melio,claude,,2026-06-30,N,AEs NYC only; no remote
PostHog,claude,,2026-06-30,N,no IC AE (TAM/CSM only)
6sense,claude,,2026-06-30,Y,Enterprise AE remote-US; 5+ yrs; base $117-158K; ABM
Salesloft,claude,,2026-06-30,N,"only Commercial Account Manager, no AE"
Gorgias,claude,,2026-06-30,N,no IC AE on board
Gusto,claude,,2026-06-30,N,"PEO AE office-only (Denver/SF/NY/etc), no remote"
Culture Amp,claude,,2026-06-30,N,no IC AE on board
Attentive,claude,,2026-06-30,N,MM AE I but remote unconfirmed (lists hubs NYC/SF); base $80-90K
Checkr,claude,,2026-06-30,N,Strategic AE hybrid 3+ days office; not remote
Rebar,repvue,102.17,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Siro,repvue,101.46,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Getguru.com,repvue,101.06,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
ProsperOps,repvue,101.03,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Associated,repvue,100.69,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Champify,repvue,100.63,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
ASAP inc,repvue,100.12,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Rilla,repvue,100.09,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Auth0,repvue,100.00,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Giga,repvue,99.89,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Mangomint,repvue,99.30,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Raymond West,repvue,98.97,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
January,repvue,98.85,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Solidgate,repvue,98.77,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Wistia,repvue,98.71,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Ivo,repvue,98.60,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Cursor,repvue,98.32,2026-06-30,Y,top-260 RepVue scan: open AE role
Whatnot,repvue,98.16,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
LettrLabs,repvue,98.05,2026-06-30,Y,top-260 RepVue scan: open AE role
Jetty,repvue,97.97,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Campfire,repvue,97.90,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Opus Technology,repvue,97.64,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Thread HCM,repvue,97.61,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Rootly,repvue,97.57,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Everstage,repvue,97.44,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
BreachRx,repvue,97.39,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Prolifiq.ai,repvue,97.36,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
The N2 Company,repvue,97.31,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Maestra.io,repvue,97.27,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Unframe AI,repvue,97.24,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
SourceWhale,repvue,97.15,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Triple Whale,repvue,97.09,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Comply Pro,repvue,96.94,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Anagram,repvue,96.91,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Wiza,repvue,96.90,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Eve Legal,repvue,96.88,2026-06-30,Y,top-260 RepVue scan: open AE role
Energy CX,repvue,96.81,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
News Corp.,repvue,96.69,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Dedrone,repvue,96.62,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Omnea,repvue,96.59,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Blue J,repvue,96.56,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Triumvirate Environmental,repvue,96.55,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Vendelux,repvue,96.50,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
CompanyCam,repvue,96.33,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
AI Clearing,repvue,96.29,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Asurint,repvue,96.11,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Accord,repvue,96.11,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
TA Instruments,repvue,96.09,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
SewerAI,repvue,96.08,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Amplemarket,repvue,95.97,2026-07-02,Y,top-260 RepVue scan: open AE role
CloudTalk,repvue,95.90,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Actively AI,repvue,95.88,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
RemoFirst,repvue,95.84,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Nooks,repvue,95.75,2026-07-02,Y,top-260 RepVue scan: open AE role
Interseller,repvue,95.75,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Juro,repvue,95.68,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
2B Talent Solutions,repvue,95.67,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Xygeni,repvue,95.67,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Oak Street Health,repvue,95.54,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
JobTread,repvue,95.51,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
RT Specialty,repvue,95.47,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Clazar,repvue,95.40,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Omni,repvue,95.32,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Force Management,repvue,95.26,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
AIHR,repvue,95.25,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Rockerbox,repvue,95.23,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Maxwell,repvue,95.17,2026-07-02,Y,top-260 RepVue scan: open AE role
QuotaPath,repvue,95.16,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Jack Henry,repvue,95.08,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Ionic,repvue,95.08,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Scytale,repvue,95.04,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Okteto,repvue,95.03,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Popl,repvue,94.93,2026-07-02,Y,top-260 RepVue scan: open AE role
Americor,repvue,94.89,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
ProfitWell,repvue,94.80,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Landytech,repvue,94.79,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Temporal Technologies,repvue,94.71,2026-07-04,N,posting dead; remaining US AE roles are senior-only (Strategic Senior AE)
ROLLER Software,repvue,94.67,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
QA Wolf,repvue,94.63,2026-07-02,Y,top-260 RepVue scan: open AE role
MutinyHQ,repvue,94.63,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
NuVasive,repvue,94.58,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
SafeSend,repvue,94.56,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Freshpaint,repvue,94.55,2026-06-30,Y,top-260 RepVue scan: open AE role
TraceAir,repvue,94.54,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Socket,repvue,94.54,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Adaptive Security,repvue,94.51,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
HighByte,repvue,94.48,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
IMPLAN,repvue,94.47,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Topline Pro,repvue,94.45,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
TitanX,repvue,94.42,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Guidewire Software,repvue,94.40,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
LPT Realty,repvue,94.38,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
UserGems,repvue,94.37,2026-07-02,Y,top-260 RepVue scan: open AE role
Nvidia,repvue,94.32,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Lane Four,repvue,94.28,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Pacvue,repvue,94.25,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Ressio Software,repvue,94.23,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Modo Energy,repvue,94.21,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
"Elucent Medical, Inc.",repvue,94.19,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
BW Events Tech,repvue,94.12,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Dagster Labs,repvue,94.04,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Lawpath,repvue,93.96,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Acceldata,repvue,93.96,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Sales Talent Agency,repvue,93.96,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Wiser Elite,repvue,93.94,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Cirium,repvue,93.91,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
commonsku,repvue,93.91,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
KLS Martin Group,repvue,93.86,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Raptor Maps,repvue,93.85,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
MEDDICC,repvue,93.84,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
SpotHero,repvue,93.73,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
AMAROK,repvue,93.70,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Salesfinity,repvue,93.69,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Karbon,repvue,93.66,2026-07-02,Y,top-260 RepVue scan: open AE role
Skip fka SkipTheDishes,repvue,93.64,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Element451,repvue,93.59,2026-06-30,Y,top-260 RepVue scan: open AE role
SiriusXM,repvue,93.58,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Groundcover,repvue,93.57,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Connecteam,repvue,93.56,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Sublime Security,repvue,93.54,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Trullion,repvue,93.54,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Revenoid,repvue,93.49,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Vicarius,repvue,93.48,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Acumatica,repvue,93.48,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
SoFi,repvue,93.43,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Skio,repvue,93.37,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Shopmonkey,repvue,93.36,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Zinc,repvue,93.32,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Gilead Sciences,repvue,93.31,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Betts,repvue,93.28,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Orb,repvue,93.26,2026-06-30,Y,top-260 RepVue scan: open AE role
Virtru,repvue,93.25,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Strider Technologies,repvue,93.24,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Censys,repvue,93.23,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
InsideSales,repvue,93.21,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
eMoney Advisor,repvue,93.16,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Tremendous,repvue,93.16,2026-07-02,Y,top-260 RepVue scan: open AE role
Cycode,repvue,93.04,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Pipedrive,repvue,93.04,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Brellium,repvue,92.99,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Roofr,repvue,92.97,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Victory Home Remodeling,repvue,92.92,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Texas Instruments,repvue,92.92,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
OpenAI,repvue,92.89,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Pento,repvue,92.88,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
DX,repvue,92.87,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Rainforest QA,repvue,92.84,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
National General,repvue,92.83,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Owner.com,repvue,92.82,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Beck Technology,repvue,92.77,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Hiver,repvue,92.73,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Lightyear,repvue,92.73,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
LTK,repvue,92.73,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Luzmo,repvue,92.71,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Rocketlane,repvue,92.69,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Cambridge Spark,repvue,92.69,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Roboflow,repvue,92.66,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Thread,repvue,92.62,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Telenor,repvue,92.58,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Dexcom,repvue,92.55,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Arch,repvue,92.54,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Qwiet AI,repvue,92.52,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
SafeBase,repvue,92.50,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
simpleclub,repvue,92.48,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Mosaic.tech,repvue,92.42,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Byte,repvue,92.39,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Edgescan,repvue,92.34,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Platform9,repvue,92.30,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Skedda,repvue,92.30,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
PatientPoint,repvue,92.28,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
OnLogic,repvue,92.27,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Jobscan,repvue,92.25,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Stellar Health,repvue,92.24,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Seequent,repvue,92.20,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Sims Lifecycle Services,repvue,92.16,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Perry Weather,repvue,92.13,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Contra,repvue,92.12,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
UserVoice,repvue,92.11,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Chorus,repvue,92.11,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Growthspace,repvue,92.08,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Coder,repvue,92.02,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Metaview,repvue,92.02,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Advisory Board,repvue,92.01,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
InsideView (owned by Demandbase),repvue,91.99,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Pie Insurance,repvue,91.97,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Omnisend,repvue,91.94,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Myriad360,repvue,91.94,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Vitally.io,repvue,91.86,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
WhatConverts,repvue,91.84,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Xnurta,repvue,91.75,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
Check Point SASE,repvue,91.74,2026-06-30,N,top-260 RepVue scan: no verified role / ATS unresolved
